산업,연령,성별,시도,규모,P_F
건설업,30~39세,남자,제주,10~19인,1.3192909410034076e-05
건설업,30~39세,남자,제주,20~49인,7.93891138078298e-06
건설업,30~39세,남자,제주,50~99인,1.0461699816480537e-05
건설업,30~39세,남자,제주,5~9인,1.659527644945878e-05
건설업,30~39세,남자,제주,5인 미만,4.5809966276628225e-05
건설업,30~39세,남자,충남,100~299인,5.369762075121535e-05
건설업,30~39세,남자,충남,10~19인,3.647100372725648e-05
건설업,30~39세,남자,충남,20~49인,3.559618773583594e-05
건설업,30~39세,남자,충남,300~499인,2.882390856254923e-05
건설업,30~39세,남자,충남,50~99인,2.767695474979922e-05
건설업,30~39세,남자,충남,5~9인,4.197946448748515e-05
건설업,30~39세,남자,충남,5인 미만,0.00014084141254244438
건설업,30~39세,남자,충북,100~299인,2.6709528574911604e-05
건설업,30~39세,남자,충북,10~19인,3.309044357893008e-05
건설업,30~39세,남자,충북,20~49인,3.169958433483936e-05
건설업,30~39세,남자,충북,300~499인,3.4290789819785656e-05
건설업,30~39세,남자,충북,50~99인,3.1181833841548284e-05
건설업,30~39세,남자,충북,5~9인,3.138686983610627e-05
건설업,30~39세,남자,충북,5인 미만,0.00010142062129668511
건설업,30~39세,여자,강원,100~299인,1.888456598392648e-06
건설업,30~39세,여자,강원,10~19인,4.249592975855893e-06
건설업,30~39세,여자,강원,20~49인,3.921110251266461e-06
건설업,30~39세,여자,강원,50~99인,4.136376525921337e-06
건설업,30~39세,여자,강원,5~9인,4.23385505443377e-06
건설업,30~39세,여자,강원,5인 미만,1.2790008513165638e-05
건설업,30~39세,여자,경기,"1,000인 이상",1.5545581740905768e-06
건설업,30~39세,여자,경기,100~299인,4.5922108394727606e-05
건설업,30~39세,여자,경기,10~19인,1.8958921032742438e-05
건설업,30~39세,여자,경기,20~49인,2.122055573052076e-05
건설업,30~39세,여자,경기,300~499인,3.4122094663722204e-05
건설업,30~39세,여자,경기,500~999인,2.7550746516855648e-05
건설업,30~39세,여자,경기,50~99인,3.208185809844115e-05
건설업,30~39세,여자,경기,5~9인,2.170171892378941e-05
건설업,30~39세,여자,경기,5인 미만,8.612785524658775e-05
